quote_id,line,part_number,callout,process,spec,Type,Class,Material_family,qty,file_path,SENT
7803,1,0023-44467,"ZINC PLATE PER ASTM B633, TYPE V, Fe/Zn 8, (CLEAR",zinc,ASTM B633,TYPE V,,STEEL,1;5;10;40;100;200;400,G:\Applied Materials\20250522 - 420511,YES
7892,8,0041-81823,"CONVERSION COAT PER MIL-C-5541, CLASS 3, GOLD",Chromate Conversion,MIL-C-5541,,CL3,ALUMINUM,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7833,1,0020-34828,"BLUE ANODIZE PER MILâ€”A-â€”8625C,
TYPE. Il,",ANODIZE,MIL-A-8625,TY II,,ALUMINUM,1;5;10;15,G:\Applied Materials\20250528 - 421485,YES
7969,4,0022-38846,"ZINC PLATE PER ASTM B633, TYPE III,
FeZn 8 (CLEAR)",ZINC,ASTM B633,TY III,,STEEL,"2,10,20,50,100,200",G:\Indicon\20250618 - 0090-13611,YES
8137,1,0041-12177,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,2,0041-25104,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,3,0042-98849,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,4,0042-98851,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,1,0041-12177,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,2,0041-25104,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,3,0042-98849,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8137,4,0042-98851,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,YES
8070,4,0023-39779,"FINISH: TIN PLATE PER ASTM-B-545, CLASS A,
COPPER, .0001-.0003 INCH THICK",Tin Plating,ASTM B545,,CLA,COPPER,1;3;10;25;50,G:\Applied Materials\20250625 - 425516,YES
7892,3,0022-25494,"CLEAN PER APPLIED MATERIALS 0250-70351, TYPE I",Cleaning,0250-70351,Type I,,Plastic,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7892,4,0022-25523,"CLEAN PER APPLIED MATERIALS 0250-70351, TYPE I",Cleaning,0250-70351,Type I,,Plastic,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7892,7,0022-30218,"CLEAN PER APPLIED MATERIALS 0250-70351, TYPE I",Cleaning,0250-70351,Type I,,Plastic,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7892,8,0041-81823,"CONVERSION COAT PER MIL-C-5541, CLASS 3, GOLD",Chromate Conversion,MIL-DTL-5541,,CL3,ALUMINUM,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7892,10,0041-96794,"CONVERSION COAT PER MIL-C-5541, CLASS 3, GOLD",Chromate Conversion,MIL-DTL-5541,,CL3,ALUMINUM,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7900,1,68A731830,PENETRANT INSPECT PART PER PS21202 CLASS A,Penetrant Inspect,PS21202,,CLA,,18;72,G:\Boeing\20250606 - CA-1355842,YES
7900,1,68A731830,HEAT TREAT PER PS15634,Heat Treat,PS15634,,,,18;72,G:\Boeing\20250606 - CA-1355842,YES
7900,1,68A731830,APPLY DRY FILM LUBRICANT ALL OVER PER PS18021,Dry Film Lubricant,PS18021,,,,18;72,G:\Boeing\20250606 - CA-1355842,YES
