quote_id,line,part_number,callout,process,spec,Type,Class,Material_family,qty,file_path,SENT
7803,1,0023-44467,"ZINC PLATE PER ASTM B633, TYPE V, Fe/Zn 8, (CLEAR",zinc,ASTM B633,TYPE V,,STEEL,1;5;10;40;100;200;400,G:\Applied Materials\20250522 - 420511,YES
7892,8,0041-81823,"CONVERSION COAT PER MIL-C-5541, CLASS 3, GOLD",Chromate Conversion,MIL-C-5541,,CL3,ALUMINUM,1;5;10;25;50;100;200;300,G:\Applied Materials\20250605 - 422857,YES
7833,1,0020-34828,"BLUE ANODIZE PER MILâ€”A-â€”8625C,
TYPE. Il,",ANODIZE,MIL-A-8625,TY II,,ALUMINUM,1;5;10;15,G:\Applied Materials\20250528 - 421485,YES
7969,4,0022-38846,"ZINC PLATE PER ASTM B633, TYPE III,
FeZn 8 (CLEAR)",ZINC,ASTM B633,TY III,,STEEL,"2,10,20,50,100,200",G:\Indicon\20250618 - 0090-13611,YES
8137,1,0041-12177,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,2,0041-25104,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,3,0042-98849,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,4,0042-98851,"FLOW CHEMICAL CONVERSION MATERIALS THROUGH WATER CHANNELS
TO COAT INSIDE WALL PER MIL-DTL-5541, CLASS 1A, CLEAR OR
MIL-DTL-5541, CLASS A, GOLD/YELLOW.",Chromate Conversion,MIL-DTL-5541,,CLA,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,1,0041-12177,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,2,0041-25104,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,3,0042-98849,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
8137,4,0042-98851,"CLEAN PER APPLIED MATERIALS 0250-20000, APPENDIX D.",Clean,0250-20000,,APP D,ALUMINUM,1;5;10,G:\Applied Materials\20250707 - 427075,
