Quote#,Line,part_number,Process,Spec,minimum, Unit_Price ,Lead_Time, Line_Minimum ,Order_Minimum,Lot_charge,Vendor,Contact Email,notes,file location
,,3249333,Nickel Plate,MIL-C-26074 CL3 GRADEB,75, $26.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,014116A-00,Passivate ,QQ-P-35 TYPVI,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,014115A-00,Passivate ,QQ-P-35 TYPVI,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,3249321,Anodize Black,MIL-A-8625 TYPII,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,11-964-3361,Chromate,MIL-DTL-5541 TYPI,65, $18.75 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-08364,Clean,0250-20000 APPA,75, $12.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0040-07375,Clean,0250-20000 APPD,75, $19.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-79190,Anodize Clear,MIL-A-8625 TYPII CL2,65, $7.85 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-29245,Passivate ,ASTM A967 NITRIC2,65, $3.50 ,5,,,,CMT,dawn@cmtfinishing.com,had nitric 2 labled in quote?,
,,0042-06322,Zinc Plate Clear,ASTM B633 TYPIII,65, $9.45 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-20600,Chromate Clear,MIL-C-5541 CL3,65, $15.10 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-20652,Chromate Clear,MIL-C-5541 CL3,65, $10.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-23946,Clean,0250-70351 TYPI,75, $6.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-18129,Clean,0250-70351 TYPI,75, $6.20 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-52944,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-52204,Clean,0250-20000 APPA,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-27759,Anodize Clear,MIL-A-8625 TYPII CL1,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-27759,Clean,0250-70351 TYPI,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-78010,Clean,0250-70351 TYPII,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-78012,Clean,0250-70351 TYPII,75, $3.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-33521,Clean,0250-20000 APPD,75, $30.00 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0022-76788,Passivate ,QQ-P-35 TYPVI,65, $3.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,unY15273A-00,Chromate Gold,MIL-DTL-5541 TYPI CL3,65, $0.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,un092091A-00,Chromate Gold,MIL-DTL-5541 TYPI CL3,65, $2.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0020-080350,Electropolish,0250-13605,150, $3.50 ,5,,,,Harrison,matthewb@harrisonep.com,,
,,0040-70230,Clean,0250-20000 APPD,75, $62.50 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0021-16896,Clean,0250-70351 TYPI,75, $10.00 ,5,,,,CMT,dawn@cmtfinishing.com,Model,
,,3249323,Chromate Gold,MIL-C-5541 CL3,65, $0.55 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,3249336,Chromate Gold,MIL-C-5541 CL1A,65, $0.60 ,5,,,,CMT,dawn@cmtfinishing.com,,
,,0042-31055,Black Anodize,Mil-A-8625 TYPIII CL2,75, $16.07 ,5,,,,Brooks,spowell@bic-texas.com,Model,
,,0042-32671,Black Anodize,Mil-A-8625 TYPIII CL2,75, $1.88 ,5,,,,Brooks,spowell@bic-texas.com,Model,
,,0042-23948,Black Anodize,Mil-A-8625 TYPIII CL2,75, $1.66 ,5,,,,Brooks,spowell@bic-texas.com,Model,
,,0022-55135,Black Anodize,Mil-A-8625 TYPIII CL2,75, $3.13 ,5,,,,Brooks,spowell@bic-texas.com,Model,
