quote_id,part_number,callout,process,spec,quantities,file_path,submitted_by,material
1,0020-10472,Passivate Per ASTM A967,Passivate,astm a 967,20,K:\APPLIED MATERIAL\0020-10472\REV CA,,
2,0020-10909,Passivate Per ASTM A967,Passivate,astm a 967,20,K:\APPLIED MATERIAL\0020-10909\REV BB\CUSTOMER,,
3,0021-93708,"SILVER PLATE PER ASTM B700
ASTM B700-97 TYPE 1, GRADE D, CLASS N
THICKNESS OF PLATING: AG PLATE 6UM+2UM",Silver Plate,ASTM B 700,1,K:\APPLIED MATERIAL\0021-93708\REV 06\CUSTOMER,,
4,0023-39606,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,15,K:\APPLIED MATERIAL\0023-39606\REV 03\CUSTOMER,,
5,0023-39608,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,15,K:\APPLIED MATERIAL\0023-39608\REV 03\CUSTOMER,,
6,0023-39609,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,15,K:\APPLIED MATERIAL\0023-39609\REV 03\CUSTOMER,,
7,0023-39610,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,15,K:\APPLIED MATERIAL\0023-39610\REV 03\CUSTOMER,,
8,0042-99781-MOUNT-ARM-LFT,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 633,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,,
9,0042-99781-MOUNT-ARM-RT,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 634,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,,
10,0042-99781-SUPPORT-BTM,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 635,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,,
11,0270-76128,CLEAN PER 0250-20000 Appendix D,Cleaning,0250-20000,4,K:\APPLIED MATERIAL\0270-76128\REV-03\CUSTOMER,,
