RFQ #,Part_Number,Rev,Print Callout,process,spec,material,quantities,file_location,submitted_by,qt/so #,sent
R0000001,0020-10472,CA,Passivate Per ASTM A967,Passivate,ASTM A 967,Stainless,20,K:\APPLIED MATERIAL\0020-10472\REV CA,Kevin Duffy,56534,
R0000002,0020-10909,BB,Passivate Per ASTM A967,Passivate,ASTM A 967,Stainless,20,K:\APPLIED MATERIAL\0020-10909\REV BB\CUSTOMER,Kevin Duffy,56534,
R0000003,0021-93708,06,"SILVER PLATE PER ASTM B700
ASTM B700-97 TYPE 1, GRADE D, CLASS N
THICKNESS OF PLATING: AG PLATE 6UM+2UM",Silver Plating,ASTM B 700,Copper,1,K:\APPLIED MATERIAL\0021-93708\REV 06\CUSTOMER,Aidan Hardy,57267,
R0000004,0023-39606,03,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,Stainless,15,K:\APPLIED MATERIAL\0023-39606\REV 03\CUSTOMER,Ryan Vandebrake,57168,
R0000005,0023-39608,03,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,Stainless,15,K:\APPLIED MATERIAL\0023-39608\REV 03\CUSTOMER,Ryan Vandebrake,57168,
R0000006,0023-39609,03,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,Stainless,15,K:\APPLIED MATERIAL\0023-39609\REV 03\CUSTOMER,Ryan Vandebrake,57168,
R0000007,0023-39610,03,UHV CLEAN PER 0250-20000; TRIPLE BAG REQUIRED,Cleaning,0250-20000,Stainless,15,K:\APPLIED MATERIAL\0023-39610\REV 03\CUSTOMER,Ryan Vandebrake,57168,
R0000008,0042-99781-MOUNT-ARM-LFT,02,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 633,MULTIPLE,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,Rogelio Luviano,57257,
R0000009,0042-99781-MOUNT-ARM-RT,02,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 633,MULTIPLE,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,Rogelio Luviano,57257,
R0000010,0042-99781-SUPPORT-BTM,02,"ZINC PLATE PER ASTM B 633, TYPE I, Fe/Zn SC2 (CLEAR) 5-15 MICRONS THICK.",Zinc Plating,ASTM B 633,MULTIPLE,1,K:\APPLIED MATERIAL\0042-99781\REV-02\CUSTOMER,Rogelio Luviano,57257,
R0000011,0270-76128,03,CLEAN PER 0250-20000 Appendix D,Cleaning,0250-20000,Aluminum,4,K:\APPLIED MATERIAL\0270-76128\REV-03\CUSTOMER,Rogelio Luviano,57143,
R0000012,512-012-205-101,-,FLOURESCENT PENETRANT INSPECTION PER BPS4089,Penetrant Inspect,BPS 4089,Stainless,13,K:\Bell Helicopter\512-012-205-101\REV -\CUSTOMER,Ryan Vandebrake,56881,
R0000013,512-012-205-101,-,"ZINC-NICKEL PLATE, CLASS 2, TYPE II, PER BPS4554",Zinc Nickel Plate,BPS 4554,Stainless,13,K:\Bell Helicopter\512-012-205-101\REV -\CUSTOMER,Ryan Vandebrake,56881,
R0000014,512-016-005-101,-,Fluorescent Penetrant Inspect per BPS4089,Penetrant Inspect,BPS 4089,Stainless,60,K:\Bell Helicopter\512-016-005-101\REV -\CUSTOMER,Ryan Vandebrake,57270,
R0000015,512-016-005-101,-,Heat Treat per BPS4140,Heat Treat,BPS 4140,Stainless,60,K:\Bell Helicopter\512-016-005-101\REV -\CUSTOMER,Ryan Vandebrake,57270,
R0000016,512-016-005-101,-,Passivation per BPS4007,Passivate,BPS 4007,Stainless,60,K:\Bell Helicopter\512-016-005-101\REV -\CUSTOMER,Ryan Vandebrake,57270,
R0000017,512-030-101-831,A,MAGNETIC PARTICLE INSPECT PER BPS 4075.,Magnetic Particle Inspect,BPS 4075,Aluminum,5,K:\Bell Helicopter\512-030-101-831\REV A\CUSTOMER,Kevin Duffy,57503,
R0000018,512-030-101-831,A,ZINC-NICKEL-CLASS 2 TYPE II BPS 4554,Zinc Nickel Plate,BPS 4554,Aluminum,5,K:\Bell Helicopter\512-030-101-831\REV A\CUSTOMER,Kevin Duffy,57503,
R0000019,512-030-130-731,-,MAGNETIC PARTICLE INSPECTION PER BPS4075,Magnetic Particle Inspect,BPS 4075,Aluminum,9,K:\Bell Helicopter\512-030-130-731\REV -\CUSTOMER,Rogelio Luviano,57503,
R0000020,512-030-130-731,-,"ZNB2 (ZINC-NICKEL, CLASS 2, TYPE II) PER BPS 4554

( CADMIUM PLATE PER BPS4006, TYPE II, CLASS 2 MAY BE USED AS AN ALTERNATE TO ZINC-NICKEL PLATE.)",Zinc Nickel Plate,BPS 4554,Aluminum,9,K:\Bell Helicopter\512-030-130-731\REV -\CUSTOMER,Rogelio Luviano,57503,
R0000021,512-030-310-021,B,Heat Treat per BPS4139,Heat Treat,BPS 4139,Aluminum,21,K:\Bell Helicopter\512-030-310-021\REV B\CUSTOMER,Ryan Vandebrake,57077,
R0000022,512-030-310-021,B,"TFSA(Thin Film Sulfuric Acid Anodize) per BPS4555

CHROMIC ACID ANODIZE PER BPS4001 MAY BE USED AS AN ALTERNATE TO TFSA",Anodize,BPS 4555,Aluminum,21,K:\Bell Helicopter\512-030-310-021\REV B\CUSTOMER,Ryan Vandebrake,57077,
R0000023,512-030-310-022,A,Heat Treat per BPS4139,Heat Treat,BPS 4139,Aluminum,20,K:\Bell Helicopter\512-030-310-022\REV A\CUSTOMER,Ryan Vandebrake,57078,
R0000024,512-030-310-022,A,Thin Film Sulfuric Acid Anodize per BPS4555,Anodize,BPS 4555,Aluminum,20,K:\Bell Helicopter\512-030-310-022\REV A\CUSTOMER,Ryan Vandebrake,57078,
R0000025,512-030-310-023,B,Heat Treat per BPS4139,Heat Treat,BPS 4139,Aluminum,20,K:\Bell Helicopter\512-030-310-023\REV B\CUSTOMER,Ryan Vandebrake,57080,
R0000026,512-030-310-023,B,Thin Film Sulfuric Acid Anodize per BPS4555,Anodize,BPS 4555,Aluminum,20,K:\Bell Helicopter\512-030-310-023\REV B\CUSTOMER,Ryan Vandebrake,57080,
R0000027,512-030-310-024,B,Heat Treat per BPS4139,Heat Treat,BPS 4139,Aluminum,20,K:\Bell Helicopter\512-030-310-024\REV B\CUSTOMER,Ryan Vandebrake,57117,
R0000028,512-030-310-024,B,Thin Film Sulfuric Acid Anodize per BPS4555,Anodize,BPS 4555,Aluminum,20,K:\Bell Helicopter\512-030-310-024\REV B\CUSTOMER,Ryan Vandebrake,57117,
R0000029,512-030-310-099,A,HEAT TREAT PER BPS4139,Heat Treat,BPS 4139,Aluminum,21,K:\Bell Helicopter\512-030-310-099\REV A\CUSTOMER,Aidan Hardy,56126,
R0000030,512-030-310-099,A,SULFURIC ACID ANODIZE PER BPS4555,Anodize,BPS 4555,Aluminum,21,K:\Bell Helicopter\512-030-310-099\REV A\CUSTOMER,Aidan Hardy,56126,
